Code,GSS_CODE,Name,NAME,ONS_INNER,Pivot Field Names,SUB_2006,SUB_2009,Year,CO2 emissions per capita,Domestic 2005,Domestic 2006,Domestic 2007,Domestic 2008,Domestic 2009,Domestic 2010,Domestic 2011,Domestic 2012,Domestic 2013,Domestic 2014,Geometry,Grand Total 2005,Grand Total 2006,Grand Total 2007,Grand Total 2008,Grand Total 2009,Grand Total 2010,Grand Total 2011,Grand Total 2012,Grand Total 2013,Grand Total 2014,HECTARES,Industry and Commercial 2005,Industry and Commercial 2006,Industry and Commercial 2007,Industry and Commercial 2008,Industry and Commercial 2009,Industry and Commercial 2010,Industry and Commercial 2011,Industry and Commercial 2012,Industry and Commercial 2013,Industry and Commercial 2014,N. LULUCF Net Emissions 2005,N. LULUCF Net Emissions 2006,N. LULUCF Net Emissions 2007,N. LULUCF Net Emissions 2008,N. LULUCF Net Emissions 2009,N. LULUCF Net Emissions 2010,N. LULUCF Net Emissions 2011,N. LULUCF Net Emissions 2012,N. LULUCF Net Emissions 2013,N. LULUCF Net Emissions 2014,NONLD_AREA,"Population ('000s, mid-year estimate) 2005","Population ('000s, mid-year estimate) 2006","Population ('000s, mid-year estimate) 2007","Population ('000s, mid-year estimate) 2008","Population ('000s, mid-year estimate) 2009","Population ('000s, mid-year estimate) 2010","Population ('000s, mid-year estimate) 2011","Population ('000s, mid-year estimate) 2012","Population ('000s, mid-year estimate) 2013","Population ('000s, mid-year estimate) 2014",Transport 2005,Transport 2006,Transport 2007,Transport 2008,Transport 2009,Transport 2010,Transport 2011,Transport 2012,Transport 2013,Transport 2014
E09000021,E09000021,Kingston upon Thames,Kingston upon Thames,F,Per Capita Emissions (t) 2014,,,1/1/2014,3.991807251,370.041199122,367.200404487,358.255742302,362.014818427,326.560937697,351.553840069,306.615867481,334.507854885,326.364015778,271.410828671,Polygon,888.675876221,877.096229060,867.505848151,849.403445207,782.181946031,824.975955518,741.822533164,778.377426083,759.382049064,678.439576761,3726.117,260.783623006,264.625775772,262.474407550,252.858269211,228.438277358,236.186245969,215.655792127,228.765232137,222.182638726,198.737464313,1.175246680,1.090813317,1.024377054,0.953096396,0.912763103,0.846470765,0.784239738,0.708089680,0.671678056,0.590944250,0,152.489,153.667,154.485,156.027,157.307,158.648,160.436,163.906,166.793,169.958,256.675807414,244.179235484,245.751321245,233.577261173,226.269967874,236.389398714,218.766633819,214.396249380,210.163716505,207.700339528
E09000021,E09000021,Kingston upon Thames,Kingston upon Thames,F,Per Capita Emissions (t) 2013,,,1/1/2013,4.552841241,370.041199122,367.200404487,358.255742302,362.014818427,326.560937697,351.553840069,306.615867481,334.507854885,326.364015778,271.410828671,Polygon,888.675876221,877.096229060,867.505848151,849.403445207,782.181946031,824.975955518,741.822533164,778.377426083,759.382049064,678.439576761,3726.117,260.783623006,264.625775772,262.474407550,252.858269211,228.438277358,236.186245969,215.655792127,228.765232137,222.182638726,198.737464313,1.175246680,1.090813317,1.024377054,0.953096396,0.912763103,0.846470765,0.784239738,0.708089680,0.671678056,0.590944250,0,152.489,153.667,154.485,156.027,157.307,158.648,160.436,163.906,166.793,169.958,256.675807414,244.179235484,245.751321245,233.577261173,226.269967874,236.389398714,218.766633819,214.396249380,210.163716505,207.700339528
E09000021,E09000021,Kingston upon Thames,Kingston upon Thames,F,Per Capita Emissions (t) 2012,,,1/1/2012,4.748925763,370.041199122,367.200404487,358.255742302,362.014818427,326.560937697,351.553840069,306.615867481,334.507854885,326.364015778,271.410828671,Polygon,888.675876221,877.096229060,867.505848151,849.403445207,782.181946031,824.975955518,741.822533164,778.377426083,759.382049064,678.439576761,3726.117,260.783623006,264.625775772,262.474407550,252.858269211,228.438277358,236.186245969,215.655792127,228.765232137,222.182638726,198.737464313,1.175246680,1.090813317,1.024377054,0.953096396,0.912763103,0.846470765,0.784239738,0.708089680,0.671678056,0.590944250,0,152.489,153.667,154.485,156.027,157.307,158.648,160.436,163.906,166.793,169.958,256.675807414,244.179235484,245.751321245,233.577261173,226.269967874,236.389398714,218.766633819,214.396249380,210.163716505,207.700339528
E09000021,E09000021,Kingston upon Thames,Kingston upon Thames,F,Per Capita Emissions (t) 2011,,,1/1/2011,4.623791002,370.041199122,367.200404487,358.255742302,362.014818427,326.560937697,351.553840069,306.615867481,334.507854885,326.364015778,271.410828671,Polygon,888.675876221,877.096229060,867.505848151,849.403445207,782.181946031,824.975955518,741.822533164,778.377426083,759.382049064,678.439576761,3726.117,260.783623006,264.625775772,262.474407550,252.858269211,228.438277358,236.186245969,215.655792127,228.765232137,222.182638726,198.737464313,1.175246680,1.090813317,1.024377054,0.953096396,0.912763103,0.846470765,0.784239738,0.708089680,0.671678056,0.590944250,0,152.489,153.667,154.485,156.027,157.307,158.648,160.436,163.906,166.793,169.958,256.675807414,244.179235484,245.751321245,233.577261173,226.269967874,236.389398714,218.766633819,214.396249380,210.163716505,207.700339528
E09000021,E09000021,Kingston upon Thames,Kingston upon Thames,F,Per Capita Emissions (t) 2010,,,1/1/2010,5.200040060,370.041199122,367.200404487,358.255742302,362.014818427,326.560937697,351.553840069,306.615867481,334.507854885,326.364015778,271.410828671,Polygon,888.675876221,877.096229060,867.505848151,849.403445207,782.181946031,824.975955518,741.822533164,778.377426083,759.382049064,678.439576761,3726.117,260.783623006,264.625775772,262.474407550,252.858269211,228.438277358,236.186245969,215.655792127,228.765232137,222.182638726,198.737464313,1.175246680,1.090813317,1.024377054,0.953096396,0.912763103,0.846470765,0.784239738,0.708089680,0.671678056,0.590944250,0,152.489,153.667,154.485,156.027,157.307,158.648,160.436,163.906,166.793,169.958,256.675807414,244.179235484,245.751321245,233.577261173,226.269967874,236.389398714,218.766633819,214.396249380,210.163716505,207.700339528
E09000021,E09000021,Kingston upon Thames,Kingston upon Thames,F,Per Capita Emissions (t) 2009,,,1/1/2009,4.972327652,370.041199122,367.200404487,358.255742302,362.014818427,326.560937697,351.553840069,306.615867481,334.507854885,326.364015778,271.410828671,Polygon,888.675876221,877.096229060,867.505848151,849.403445207,782.181946031,824.975955518,741.822533164,778.377426083,759.382049064,678.439576761,3726.117,260.783623006,264.625775772,262.474407550,252.858269211,228.438277358,236.186245969,215.655792127,228.765232137,222.182638726,198.737464313,1.175246680,1.090813317,1.024377054,0.953096396,0.912763103,0.846470765,0.784239738,0.708089680,0.671678056,0.590944250,0,152.489,153.667,154.485,156.027,157.307,158.648,160.436,163.906,166.793,169.958,256.675807414,244.179235484,245.751321245,233.577261173,226.269967874,236.389398714,218.766633819,214.396249380,210.163716505,207.700339528
E09000021,E09000021,Kingston upon Thames,Kingston upon Thames,F,Per Capita Emissions (t) 2008,,,1/1/2008,5.443951657,370.041199122,367.200404487,358.255742302,362.014818427,326.560937697,351.553840069,306.615867481,334.507854885,326.364015778,271.410828671,Polygon,888.675876221,877.096229060,867.505848151,849.403445207,782.181946031,824.975955518,741.822533164,778.377426083,759.382049064,678.439576761,3726.117,260.783623006,264.625775772,262.474407550,252.858269211,228.438277358,236.186245969,215.655792127,228.765232137,222.182638726,198.737464313,1.175246680,1.090813317,1.024377054,0.953096396,0.912763103,0.846470765,0.784239738,0.708089680,0.671678056,0.590944250,0,152.489,153.667,154.485,156.027,157.307,158.648,160.436,163.906,166.793,169.958,256.675807414,244.179235484,245.751321245,233.577261173,226.269967874,236.389398714,218.766633819,214.396249380,210.163716505,207.700339528
E09000021,E09000021,Kingston upon Thames,Kingston upon Thames,F,Per Capita Emissions (t) 2007,,,1/1/2007,5.615469775,370.041199122,367.200404487,358.255742302,362.014818427,326.560937697,351.553840069,306.615867481,334.507854885,326.364015778,271.410828671,Polygon,888.675876221,877.096229060,867.505848151,849.403445207,782.181946031,824.975955518,741.822533164,778.377426083,759.382049064,678.439576761,3726.117,260.783623006,264.625775772,262.474407550,252.858269211,228.438277358,236.186245969,215.655792127,228.765232137,222.182638726,198.737464313,1.175246680,1.090813317,1.024377054,0.953096396,0.912763103,0.846470765,0.784239738,0.708089680,0.671678056,0.590944250,0,152.489,153.667,154.485,156.027,157.307,158.648,160.436,163.906,166.793,169.958,256.675807414,244.179235484,245.751321245,233.577261173,226.269967874,236.389398714,218.766633819,214.396249380,210.163716505,207.700339528
E09000021,E09000021,Kingston upon Thames,Kingston upon Thames,F,Per Capita Emissions (t) 2006,,,1/1/2006,5.707772190,370.041199122,367.200404487,358.255742302,362.014818427,326.560937697,351.553840069,306.615867481,334.507854885,326.364015778,271.410828671,Polygon,888.675876221,877.096229060,867.505848151,849.403445207,782.181946031,824.975955518,741.822533164,778.377426083,759.382049064,678.439576761,3726.117,260.783623006,264.625775772,262.474407550,252.858269211,228.438277358,236.186245969,215.655792127,228.765232137,222.182638726,198.737464313,1.175246680,1.090813317,1.024377054,0.953096396,0.912763103,0.846470765,0.784239738,0.708089680,0.671678056,0.590944250,0,152.489,153.667,154.485,156.027,157.307,158.648,160.436,163.906,166.793,169.958,256.675807414,244.179235484,245.751321245,233.577261173,226.269967874,236.389398714,218.766633819,214.396249380,210.163716505,207.700339528
E09000021,E09000021,Kingston upon Thames,Kingston upon Thames,F,Per Capita Emissions (t) 2005,,,1/1/2005,5.827803161,370.041199122,367.200404487,358.255742302,362.014818427,326.560937697,351.553840069,306.615867481,334.507854885,326.364015778,271.410828671,Polygon,888.675876221,877.096229060,867.505848151,849.403445207,782.181946031,824.975955518,741.822533164,778.377426083,759.382049064,678.439576761,3726.117,260.783623006,264.625775772,262.474407550,252.858269211,228.438277358,236.186245969,215.655792127,228.765232137,222.182638726,198.737464313,1.175246680,1.090813317,1.024377054,0.953096396,0.912763103,0.846470765,0.784239738,0.708089680,0.671678056,0.590944250,0,152.489,153.667,154.485,156.027,157.307,158.648,160.436,163.906,166.793,169.958,256.675807414,244.179235484,245.751321245,233.577261173,226.269967874,236.389398714,218.766633819,214.396249380,210.163716505,207.700339528
